序号,文件路径,相对路径,类或对象,函数名,函数类型,起始行,结束行,行数,职责摘要,副作用,调用方,发现问题编号,重复实现编号,审阅方式,状态,备注
5736,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/pages/UsersPage.vue,Code/frontend/admin-web/src/pages/UsersPage.vue,UsersPage,result,ts,88,88,1,调用: getAdminStoreMembers,无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5737,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/pages/UsersPage.vue,Code/frontend/admin-web/src/pages/UsersPage.vue,UsersPage,switchTab,ts,99,102,4,"调用: switchTab, loadMembers",无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5738,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/pages/UsersPage.vue,Code/frontend/admin-web/src/pages/UsersPage.vue,UsersPage,retryMembers,ts,103,105,3,"调用: retryMembers, loadMembers",无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5739,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/pages/UsersPage.vue,Code/frontend/admin-web/src/pages/UsersPage.vue,UsersPage,editMember,ts,106,111,6,调用: editMember,无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5740,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/pages/UsersPage.vue,Code/frontend/admin-web/src/pages/UsersPage.vue,UsersPage,statusCode,ts,112,112,1,调用: statusCode,无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5741,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/pages/UsersPage.vue,Code/frontend/admin-web/src/pages/UsersPage.vue,UsersPage,mutationMessage,ts,113,122,10,调用: mutationMessage,无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5742,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/pages/UsersPage.vue,Code/frontend/admin-web/src/pages/UsersPage.vue,UsersPage,rawStatus,ts,115,115,1,纯本地逻辑,无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5743,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/pages/UsersPage.vue,Code/frontend/admin-web/src/pages/UsersPage.vue,UsersPage,status,ts,116,123,8,调用: requestStoreUpdate,无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5744,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/pages/UsersPage.vue,Code/frontend/admin-web/src/pages/UsersPage.vue,UsersPage,requestStoreUpdate,ts,123,123,1,调用: requestStoreUpdate,无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5745,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/pages/UsersPage.vue,Code/frontend/admin-web/src/pages/UsersPage.vue,UsersPage,requestMemberUpdate,ts,124,124,1,调用: requestMemberUpdate,无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5746,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/pages/UsersPage.vue,Code/frontend/admin-web/src/pages/UsersPage.vue,UsersPage,requestUserStatus,ts,125,125,1,调用: requestUserStatus,无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5747,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/pages/UsersPage.vue,Code/frontend/admin-web/src/pages/UsersPage.vue,UsersPage,cancelMutation,ts,126,126,1,调用: cancelMutation,无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5748,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/pages/UsersPage.vue,Code/frontend/admin-web/src/pages/UsersPage.vue,UsersPage,changeStore,ts,127,137,11,"调用: changeStore, updateAdminStore, trim, statusCode, mutationId, map",无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5749,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/pages/UsersPage.vue,Code/frontend/admin-web/src/pages/UsersPage.vue,UsersPage,updated,ts,131,131,1,"调用: updateAdminStore, trim, statusCode, mutationId",无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5750,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/pages/UsersPage.vue,Code/frontend/admin-web/src/pages/UsersPage.vue,UsersPage,changeMember,ts,138,148,11,"调用: changeMember, find, updateAdminMember, trim, statusCode, mutationId",无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5751,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/pages/UsersPage.vue,Code/frontend/admin-web/src/pages/UsersPage.vue,UsersPage,store,ts,139,147,9,"调用: find, updateAdminMember, trim, statusCode, mutationId, map",无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5752,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/pages/UsersPage.vue,Code/frontend/admin-web/src/pages/UsersPage.vue,UsersPage,member,ts,140,147,8,"调用: find, updateAdminMember, trim, statusCode, mutationId, map",无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5753,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/pages/UsersPage.vue,Code/frontend/admin-web/src/pages/UsersPage.vue,UsersPage,updated,ts,144,144,1,"调用: updateAdminMember, trim, statusCode, mutationId",无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5754,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/pages/UsersPage.vue,Code/frontend/admin-web/src/pages/UsersPage.vue,UsersPage,confirmMutation,ts,149,153,5,"调用: confirmMutation, changeStore, changeMember, changeUserStatus",无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5755,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/pages/UsersPage.vue,Code/frontend/admin-web/src/pages/UsersPage.vue,UsersPage,previousPage,ts,154,154,1,"调用: previousPage, load",无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5756,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/pages/UsersPage.vue,Code/frontend/admin-web/src/pages/UsersPage.vue,UsersPage,nextPage,ts,155,155,1,"调用: nextPage, load",无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5757,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/pages/UsersPage.vue,Code/frontend/admin-web/src/pages/UsersPage.vue,UsersPage,search,ts,156,156,1,"调用: search, load",无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5758,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/pages/UsersPage.vue,Code/frontend/admin-web/src/pages/UsersPage.vue,UsersPage,statusLabel,ts,158,158,1,调用: statusLabel,无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5759,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/pages/UsersPage.vue,Code/frontend/admin-web/src/pages/UsersPage.vue,UsersPage,targetStatus,ts,159,159,1,调用: targetStatus,无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5760,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/pages/UsersPage.vue,Code/frontend/admin-web/src/pages/UsersPage.vue,UsersPage,mutationId,ts,160,160,1,"调用: mutationId, now, random, slice",无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5761,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/pages/UsersPage.vue,Code/frontend/admin-web/src/pages/UsersPage.vue,UsersPage,changeUserStatus,ts,162,182,21,"调用: changeUserStatus, updateAdminUser, targetStatus, mutationId, map, mutationMessage",无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5762,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/pages/UsersPage.vue,Code/frontend/admin-web/src/pages/UsersPage.vue,UsersPage,updated,ts,167,174,8,"调用: updateAdminUser, targetStatus, mutationId",无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5763,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/admin.ts,Code/frontend/admin-web/src/shared/api/admin.ts,admin,getAdminSession,ts,283,285,3,"调用: getAdminSession, apiRequest",无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5764,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/admin.ts,Code/frontend/admin-web/src/shared/api/admin.ts,admin,getAdminOverview,ts,287,289,3,"调用: getAdminOverview, apiRequest",无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5765,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/admin.ts,Code/frontend/admin-web/src/shared/api/admin.ts,admin,getAdminRuns,ts,291,293,3,"调用: getAdminRuns, apiRequest",无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5766,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/admin.ts,Code/frontend/admin-web/src/shared/api/admin.ts,admin,getAdminAuditEvents,ts,295,297,3,"调用: getAdminAuditEvents, apiRequest",无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5767,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/admin.ts,Code/frontend/admin-web/src/shared/api/admin.ts,admin,getAdminUsers,ts,299,301,3,"调用: getAdminUsers, apiRequest",无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5768,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/admin.ts,Code/frontend/admin-web/src/shared/api/admin.ts,admin,getAdminStores,ts,303,305,3,"调用: getAdminStores, apiRequest",无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5769,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/admin.ts,Code/frontend/admin-web/src/shared/api/admin.ts,admin,getAdminStoreMembers,ts,307,309,3,"调用: getAdminStoreMembers, apiRequest, encodeURIComponent",无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5770,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/admin.ts,Code/frontend/admin-web/src/shared/api/admin.ts,admin,updateAdminUser,ts,311,313,3,"调用: updateAdminUser, apiRequest, encodeURIComponent, stringify",无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5771,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/admin.ts,Code/frontend/admin-web/src/shared/api/admin.ts,admin,updateAdminStore,ts,315,317,3,"调用: updateAdminStore, apiRequest, encodeURIComponent, stringify",无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5772,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/admin.ts,Code/frontend/admin-web/src/shared/api/admin.ts,admin,updateAdminMember,ts,319,321,3,"调用: updateAdminMember, apiRequest, encodeURIComponent, stringify",无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5773,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/admin.ts,Code/frontend/admin-web/src/shared/api/admin.ts,admin,getAdminUsage,ts,323,325,3,"调用: getAdminUsage, apiRequest",无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5774,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/admin.ts,Code/frontend/admin-web/src/shared/api/admin.ts,admin,getAdminRun,ts,327,329,3,"调用: getAdminRun, apiRequest, encodeURIComponent",无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5775,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/admin.ts,Code/frontend/admin-web/src/shared/api/admin.ts,admin,getAdminRunEvents,ts,331,333,3,"调用: getAdminRunEvents, apiRequest, encodeURIComponent",无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5776,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/admin.ts,Code/frontend/admin-web/src/shared/api/admin.ts,admin,getAdminMessages,ts,335,337,3,"调用: getAdminMessages, apiRequest, encodeURIComponent",无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5777,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/admin.ts,Code/frontend/admin-web/src/shared/api/admin.ts,admin,getAdminRunContext,ts,339,341,3,"调用: getAdminRunContext, apiRequest, encodeURIComponent",无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5778,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/admin.ts,Code/frontend/admin-web/src/shared/api/admin.ts,admin,getAdminRunDrafts,ts,343,345,3,"调用: getAdminRunDrafts, apiRequest, encodeURIComponent",无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5779,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/admin.ts,Code/frontend/admin-web/src/shared/api/admin.ts,admin,streamAdminRunEvents,ts,347,350,4,调用: streamAdminRunEvents,无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5780,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/admin.ts,Code/frontend/admin-web/src/shared/api/admin.ts,admin,getAdminAgentConfig,ts,357,359,3,"调用: getAdminAgentConfig, apiRequest",无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5781,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/admin.ts,Code/frontend/admin-web/src/shared/api/admin.ts,admin,updateAdminAgentConfig,ts,361,363,3,"调用: updateAdminAgentConfig, apiRequest, stringify",无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5782,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/admin.ts,Code/frontend/admin-web/src/shared/api/admin.ts,admin,getAdminHealth,ts,365,367,3,"调用: getAdminHealth, apiRequest",无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5783,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/admin.ts,Code/frontend/admin-web/src/shared/api/admin.ts,admin,getAdminRetentionPolicy,ts,369,371,3,"调用: getAdminRetentionPolicy, apiRequest",无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5784,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/admin.ts,Code/frontend/admin-web/src/shared/api/admin.ts,admin,updateAdminRetentionPolicy,ts,373,375,3,"调用: updateAdminRetentionPolicy, apiRequest, stringify",无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5785,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/admin.ts,Code/frontend/admin-web/src/shared/api/admin.ts,admin,getAdminExportJobs,ts,377,379,3,"调用: getAdminExportJobs, apiRequest",无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5786,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/admin.ts,Code/frontend/admin-web/src/shared/api/admin.ts,admin,createAdminExport,ts,381,383,3,"调用: createAdminExport, apiRequest, stringify",无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5787,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/admin.ts,Code/frontend/admin-web/src/shared/api/admin.ts,admin,downloadAdminExport,ts,385,387,3,"调用: downloadAdminExport, apiDownload, encodeURIComponent",无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5788,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/client.ts,Code/frontend/admin-web/src/shared/api/client.ts,client,ructor,ts,19,24,6,调用: constructor,无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5789,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/client.ts,Code/frontend/admin-web/src/shared/api/client.ts,client,accessToken,ts,30,38,9,调用: setAdminSessionFailureHandler,无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5790,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/client.ts,Code/frontend/admin-web/src/shared/api/client.ts,client,refreshToken,ts,31,38,8,调用: setAdminSessionFailureHandler,无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5791,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/client.ts,Code/frontend/admin-web/src/shared/api/client.ts,client,authGeneration,ts,32,38,7,调用: setAdminSessionFailureHandler,无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5792,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/client.ts,Code/frontend/admin-web/src/shared/api/client.ts,client,refreshInFlight,ts,33,38,6,调用: setAdminSessionFailureHandler,无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5793,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/client.ts,Code/frontend/admin-web/src/shared/api/client.ts,client,sessionFailureHandler,ts,34,38,5,调用: setAdminSessionFailureHandler,无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5794,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/client.ts,Code/frontend/admin-web/src/shared/api/client.ts,client,setAdminSessionFailureHandler,ts,36,38,3,调用: setAdminSessionFailureHandler,无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5795,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/client.ts,Code/frontend/admin-web/src/shared/api/client.ts,client,getAccessToken,ts,40,42,3,调用: getAccessToken,无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5796,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/client.ts,Code/frontend/admin-web/src/shared/api/client.ts,client,setAdminAuthTokens,ts,44,48,5,调用: setAdminAuthTokens,无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5797,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/client.ts,Code/frontend/admin-web/src/shared/api/client.ts,client,clearAccessToken,ts,50,54,5,调用: clearAccessToken,无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5798,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/client.ts,Code/frontend/admin-web/src/shared/api/client.ts,client,isAdminApiError,ts,56,58,3,调用: isAdminApiError,无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5799,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/client.ts,Code/frontend/admin-web/src/shared/api/client.ts,client,invalidateAdminSession,ts,60,63,4,"调用: invalidateAdminSession, clearAccessToken",无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5800,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/client.ts,Code/frontend/admin-web/src/shared/api/client.ts,client,apiRequest,ts,65,67,3,纯本地逻辑,无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5801,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/client.ts,Code/frontend/admin-web/src/shared/api/client.ts,client,url,ts,70,76,7,"调用: buildUrl, requestWithSessionRefresh, AdminApiError",无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5802,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/client.ts,Code/frontend/admin-web/src/shared/api/client.ts,client,response,ts,71,76,6,"调用: requestWithSessionRefresh, AdminApiError",无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5803,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/client.ts,Code/frontend/admin-web/src/shared/api/client.ts,client,payload,ts,73,76,4,调用: AdminApiError,无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5804,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/client.ts,Code/frontend/admin-web/src/shared/api/client.ts,client,apiDownload,ts,80,86,7,"调用: apiDownload, requestWithSessionRefresh, buildUrl, AdminApiError, blob",无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5805,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/client.ts,Code/frontend/admin-web/src/shared/api/client.ts,client,response,ts,81,81,1,"调用: requestWithSessionRefresh, buildUrl",无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5806,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/client.ts,Code/frontend/admin-web/src/shared/api/client.ts,client,openApiEventStream,ts,88,91,4,纯本地逻辑,无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5807,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/client.ts,Code/frontend/admin-web/src/shared/api/client.ts,client,controller,ts,93,98,6,"调用: AbortController, consumeEventStream, abort, buildUrl",无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5808,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/client.ts,Code/frontend/admin-web/src/shared/api/client.ts,client,buildUrl,ts,98,106,9,"调用: buildUrl, replace, URL, entries, set, toISOString",无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5809,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/client.ts,Code/frontend/admin-web/src/shared/api/client.ts,client,base,ts,99,100,2,"调用: replace, URL",无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5810,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/client.ts,Code/frontend/admin-web/src/shared/api/client.ts,client,url,ts,100,100,1,调用: URL,无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5811,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/client.ts,Code/frontend/admin-web/src/shared/api/client.ts,client,parsePayload,ts,108,114,7,"调用: json, AdminApiError",无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5812,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/client.ts,Code/frontend/admin-web/src/shared/api/client.ts,client,consumeEventStream,ts,116,120,5,纯本地逻辑,无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5813,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/client.ts,Code/frontend/admin-web/src/shared/api/client.ts,client,response,ts,123,123,1,"调用: requestWithSessionRefresh, buildUrl",无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5814,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/client.ts,Code/frontend/admin-web/src/shared/api/client.ts,client,reader,ts,125,135,11,"调用: getReader, TextDecoder, read, decode, split, pop",无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5815,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/client.ts,Code/frontend/admin-web/src/shared/api/client.ts,client,decoder,ts,126,135,10,"调用: TextDecoder, read, decode, split, pop",无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5816,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/client.ts,Code/frontend/admin-web/src/shared/api/client.ts,client,buffer,ts,127,135,9,"调用: read, decode, split, pop",无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5817,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/client.ts,Code/frontend/admin-web/src/shared/api/client.ts,client,frames,ts,132,137,6,"调用: split, pop",无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5818,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/client.ts,Code/frontend/admin-web/src/shared/api/client.ts,client,requestWithSessionRefresh,ts,143,176,34,"调用: requestWithSessionRefresh, async, Headers, set, has, fetch",HTTP出站,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5819,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/client.ts,Code/frontend/admin-web/src/shared/api/client.ts,client,request,ts,149,159,11,"调用: async, Headers, set, has, fetch, AdminApiError",HTTP出站,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
5820,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/admin-web/src/shared/api/client.ts,Code/frontend/admin-web/src/shared/api/client.ts,client,headers,ts,150,153,4,"调用: Headers, set, has",无,见调用关系台账,,DUP-004,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
